seed,pool,homolog_organism,homolog_genus,tier,in_cyanorak,identity,coverage,title,meta,doi,pmcid,pmid,year
PMT9312_0549,pro,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis,cyano,False,52,79,Gene expression patterns of sulfur starvation in Synechocystis sp. PCC 6803,"Zhang, BMC genomics 2008",,PMC2491639,,2008
PMT9312_0549,pro,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis,cyano,False,52,79,Global transcriptional response of the alkali-tolerant cyanobacterium Synechocystis sp. strain PCC 6803 to a pH 10 environment,"Summerfield, Applied and environmental microbiology 2008",,PMC2546634,,2008
PMT9312_0549,pro,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis,cyano,False,52,79,Self-Assembly of Nanofilaments in Cyanobacteria for Protein Co-localization,"Zedler, ACS nano 2023",,PMC10754207,,2023
PMT9312_0549,pro,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis,cyano,False,52,79,Spontaneous non-canonical assembly of CcmK hexameric components from β-carboxysome shells of cyanobacteria,"Garcia-Alles, PloS one 2017",,PMC5608322,,2017
PMT9312_0549,pro,Leptolyngbya boryana CZ1,Leptolyngbya,cyano,False,44,75,Genomic Analysis of Leptolyngbya boryana CZ1 Reveals Efficient Carbon Fixation Modules,"Bai, Plants (Basel, Switzerland) 2023",,PMC10536570,,2023
PMT9312_0549,pro,Synechocystis sp. PCC 6803,Synechocystis,cyano,False,37,31,Differences in photosystem II activity and carbon allocation during photomixotrophic growth in distinct wild-type strains of Synechocystis sp. PCC 6803,"Huokko, The Plant journal : for cell and molecular biology 2026",,PMC12831587,,2026
PMT9312_0549,pro,Synechocystis sp. PCC 6803,Synechocystis,cyano,False,37,31,Comparative Genomic Analysis Revealed Distinct Molecular Components and Organization of CO2-Concentrating Mechanism in Thermophilic Cyanobacteria,"Tang, Frontiers in microbiology 2022",,PMC9120777,,2022
PMT9312_0549,pro,Synechocystis sp. PCC 6803,Synechocystis,cyano,False,37,31,Complex structure reveals CcmM and CcmN form a heterotrimeric adaptor in β-carboxysome,"Sun, Protein science : a publication of the Protein Society 2021",,PMC8284570,,2021
PMT9312_0549,pro,Synechocystis sp. PCC 6803,Synechocystis,cyano,False,37,31,Exploring Components of the CO2-Concentrating Mechanism in Alkaliphilic Cyanobacteria Through Genome-Based Analysis,"Klanchui, Computational and structural biotechnology journal 2017",,PMC5472144,,2017
PMT9312_0549,pro,Synechocystis sp. PCC 6803,Synechocystis,cyano,False,37,31,Proteomic analysis reveals resistance mechanism against biofuel hexane in Synechocystis sp. PCC 6803,"Liu, Biotechnology for biofuels 2012",,PMC3479031,,2012
PMT9312_0549,pro,Synechocystis sp. PCC 6803,Synechocystis,cyano,False,37,31,Gene expression patterns of sulfur starvation in Synechocystis sp. PCC 6803,"Zhang, BMC genomics 2008",,PMC2491639,,2008
PMT9312_0549,pro,Synechocystis sp. PCC 6803,Synechocystis,cyano,False,37,31,A multiprotein bicarbonate dehydration complex essential to carboxysome function in cyanobacteria,"Cot, Journal of bacteriology 2008",,PMC2223583,,2008
PMT9312_0549,pro,Synechocystis sp. PCC 6803,Synechocystis,cyano,False,37,31,Global transcriptional response of the alkali-tolerant cyanobacterium Synechocystis sp. strain PCC 6803 to a pH 10 environment,"Summerfield, Applied and environmental microbiology 2008",,PMC2546634,,2008
PMT9312_0549,pro,Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2),Synechococcus,cyano,False,47,28,"The propanediol utilization (pdu) operon of Salmonella enterica serovar Typhimurium LT2 includes genes necessary for formation of polyhedral organelles involved in coenzyme B(12)-dependent 1, 2-propanediol degradation","Bobik, Journal of bacteriology 1999",,PMC103623,,1999
PMT9312_0549,pro,Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2),Synechococcus,cyano,False,47,28,Origin and Evolution of Carboxysome Positioning Systems in Cyanobacteria,"MacCready, Molecular biology and evolution 2020",,PMC7182216,,2020
PMT9312_0549,pro,Synechococcus sp. PCC 7002,Synechococcus,cyano,False,38,34,Transcription Profiling of the Model Cyanobacterium Synechococcus sp. Strain PCC 7002 by Next-Gen (SOLiD™) Sequencing of cDNA,"Ludwig, Frontiers in microbiology 2011",,PMC3133671,,2011
PMT9312_0549,pro,Nostoc sp. PCC 7120 = FACHB-418,Nostoc,cyano,False,42,73,Proteomic Insights into Starvation of Nitrogen-Replete Cells of Nostoc sp. PCC 7120 under β-N-Methylamino-L-Alanine (BMAA) Treatment,"Koksharova, Toxins 2020",,PMC7354497,,2020
PMT9312_0549,pro,Nostoc sp. PCC 7120 = FACHB-418,Nostoc,cyano,False,42,73,The First Proteomics Study of Nostoc sp. PCC 7120 Exposed to Cyanotoxin BMAA under Nitrogen Starvation,"Koksharova, Toxins 2020",,PMC7290344,,2020
PMT9312_0549,pro,Nostoc sp. PCC 7120 = FACHB-418,Nostoc,cyano,False,42,73,Computational prediction of cAMP receptor protein (CRP) binding sites in cyanobacterial genomes,"Xu, BMC genomics 2009",,PMC2633013,,2009
PMT9312_0549,pro,Anabaena variabilis ATCC 29413,Anabaena,cyano,False,42,73,RcaE-Dependent Regulation of Carboxysome Structural Proteins Has a Central Role in Environmental Determination of Carboxysome Morphology and Abundance in Fremyella diplosiphon,"Rohnke, mSphere 2018",,PMC5784247,,2018
PMT9312_0549,pro,Leptolyngbya boryana CZ1,Leptolyngbya,cyano,False,38,32,Genomic Analysis of Leptolyngbya boryana CZ1 Reveals Efficient Carbon Fixation Modules,"Bai, Plants (Basel, Switzerland) 2023",,PMC10536570,,2023
PMT9312_0549,pro,Anabaena variabilis ATCC 29413,Anabaena,cyano,False,42,33,RcaE-Dependent Regulation of Carboxysome Structural Proteins Has a Central Role in Environmental Determination of Carboxysome Morphology and Abundance in Fremyella diplosiphon,"Rohnke, mSphere 2018",,PMC5784247,,2018
PMT9312_0549,pro,Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2),Synechococcus,cyano,False,36,73,Origin and Evolution of Carboxysome Positioning Systems in Cyanobacteria,"MacCready, Molecular biology and evolution 2020",,PMC7182216,,2020
PMT9312_0549,pro,Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2),Synechococcus,cyano,False,36,73,Metabolite interactions in the bacterial Calvin cycle and implications for flux regulation,"Sporre, Communications biology 2023",,PMC10507043,,2023
PMT9312_0549,pro,Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2),Synechococcus,cyano,False,36,73,Self-Assembly of Nanofilaments in Cyanobacteria for Protein Co-localization,"Zedler, ACS nano 2023",,PMC10754207,,2023
PMT9312_0549,pro,Synechococcus sp. PCC 7002,Synechococcus,cyano,False,39,73,Transcription Profiling of the Model Cyanobacterium Synechococcus sp. Strain PCC 7002 by Next-Gen (SOLiD™) Sequencing of cDNA,"Ludwig, Frontiers in microbiology 2011",,PMC3133671,,2011
PMT9312_0549,pro,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis,cyano,False,39,72,Spontaneous non-canonical assembly of CcmK hexameric components from β-carboxysome shells of cyanobacteria,"Garcia-Alles, PloS one 2017",,PMC5608322,,2017
PMT9312_0549,pro,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis,cyano,False,39,72,Comparative Genomic Analysis Revealed Distinct Molecular Components and Organization of CO2-Concentrating Mechanism in Thermophilic Cyanobacteria,"Tang, Frontiers in microbiology 2022",,PMC9120777,,2022
PMT9312_0549,pro,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis,cyano,False,39,72,Exploring Components of the CO2-Concentrating Mechanism in Alkaliphilic Cyanobacteria Through Genome-Based Analysis,"Klanchui, Computational and structural biotechnology journal 2017",,PMC5472144,,2017
PMT9312_0549,pro,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis,cyano,False,39,72,"Diurnal Regulation of Cellular Processes in the Cyanobacterium Synechocystis sp. Strain PCC 6803: Insights from Transcriptomic, Fluxomic, and Physiological Analyses","Saha, mBio 2016",,PMC4959675,,2016
PMT9312_0549,pro,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis,cyano,False,39,72,Proteomic analysis reveals resistance mechanism against biofuel hexane in Synechocystis sp. PCC 6803,"Liu, Biotechnology for biofuels 2012",,PMC3479031,,2012
PMT9312_0549,pro,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis,cyano,False,39,72,Computational prediction of cAMP receptor protein (CRP) binding sites in cyanobacterial genomes,"Xu, BMC genomics 2009",,PMC2633013,,2009
PMT9312_0549,pro,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis,cyano,False,39,72,A multiprotein bicarbonate dehydration complex essential to carboxysome function in cyanobacteria,"Cot, Journal of bacteriology 2008",,PMC2223583,,2008
PMT9312_0549,pro,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis,cyano,False,39,72,Global transcriptional response of the alkali-tolerant cyanobacterium Synechocystis sp. strain PCC 6803 to a pH 10 environment,"Summerfield, Applied and environmental microbiology 2008",,PMC2546634,,2008
PMT9312_0549,pro,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis,cyano,False,39,72,Four novel genes required for optimal photoautotrophic growth of the cyanobacterium Synechocystis sp. strain PCC 6803 identified by in vitro transposon mutagenesis,"Zhang, Journal of bacteriology 2004",,PMC321504,,2004
PMT9312_0549,pro,Crocosphaera subtropica (strain ATCC 51142 / BH68),Crocosphaera,cyano,False,35,75,"Web-based software for rapid top-down proteomic identification of protein biomarkers, with implications for bacterial identification.","Fagerquist, Applied and environmental microbiology 2009",,PMC2704838,,2009
PMT9312_0549,pro,Synechococcus sp. PCC 7002,Synechococcus,cyano,False,39,73,Transcription Profiling of the Model Cyanobacterium Synechococcus sp. Strain PCC 7002 by Next-Gen (SOLiD™) Sequencing of cDNA,"Ludwig, Frontiers in microbiology 2011",,PMC3133671,,2011
PMT9312_0550,pro,Parasynechococcus marenigrum (strain WH8102),Parasynechococcus,cyano,True,94,100,Computational inference and experimental validation of the nitrogen assimilation regulatory network in cyanobacterium Synechococcus sp. WH 8102,"Su, Nucleic acids research 2006",,PMC1363776,,2006
PMT9312_0550,pro,Cyanobium gracile (strain ATCC 27147 / PCC 6307),Cyanobium,cyano,True,94,100,Red Rubiscos and opportunities for engineering green plants,"Oh, Journal of experimental botany 2023",,PMC9833100,,2023
PMT9312_0550,pro,Synechococcus sp. PCC 7002,Synechococcus,cyano,False,75,99,Direct interaction between marine cyanobacteria mediated by nanotubes,"Angulo-Cánovas, Science advances 2024",,PMC11114229,,2024
PMT9312_0550,pro,Synechococcus sp. PCC 7002,Synechococcus,cyano,False,75,99,The response of Synechococcus sp. PCC 7002 to micro-/nano polyethylene particles - Investigation of a key anthropogenic stressor,"Machado, PloS one 2020",,PMC7329024,,2020
PMT9312_0550,pro,Synechococcus sp. PCC 7002,Synechococcus,cyano,False,75,99,Genetic tools for advancement of Synechococcus sp. PCC 7002 as a cyanobacterial chassis,"Ruffing, Microbial cell factories 2016",,PMC5105302,,2016
PMT9312_0550,pro,Synechococcus sp. PCC 7002,Synechococcus,cyano,False,75,99,Transcription Profiling of the Model Cyanobacterium Synechococcus sp. Strain PCC 7002 by Next-Gen (SOLiD™) Sequencing of cDNA,"Ludwig, Frontiers in microbiology 2011",,PMC3133671,,2011
PMT9312_0550,pro,Halomicronema hongdechloris C2206,Halomicronema,cyano,False,74,97,Genome and proteome of the chlorophyll f-producing cyanobacterium Halomicronema hongdechloris: adaptative proteomic shifts under different light conditions,"Chen, BMC genomics 2019",,PMC6416890,,2019
PMT9312_0550,pro,Synechococcus sp. JA-2-3B'a(2-13),Synechococcus,cyano,False,75,98,"In situ dynamics of O2, pH and cyanobacterial transcripts associated with CCM, photosynthesis and detoxification of ROS","Jensen, The ISME journal 2011",,PMC3105686,,2011
PMT9312_0550,pro,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1) (Anacystis nidulans),Synechococcus,cyano,False,74,98,Elucidating essential role of conserved carboxysomal protein CcmN reveals common feature of bacterial microcompartment assembly,"Kinney, The Journal of biological chemistry 2012",,PMC3366800,,2012
PMT9312_0550,pro,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1) (Anacystis nidulans),Synechococcus,cyano,False,74,98,"Unusual ribulose 1,5-bisphosphate carboxylase/oxygenase of anoxic Archaea","Watson, Journal of bacteriology 1999",,PMC93548,,1999
PMT9312_0550,pro,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1) (Anacystis nidulans),Synechococcus,cyano,False,74,98,CyanoTag: Discovery of protein function facilitated by high-throughput endogenous tagging in a photosynthetic prokaryote,"Perrin, Science advances 2025",,PMC11804935,,2025
PMT9312_0550,pro,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1) (Anacystis nidulans),Synechococcus,cyano,False,74,98,Insufficient Acetyl-CoA Pool Restricts the Phototrophic Production of Organic Acids in Model Cyanobacteria,"You, International journal of molecular sciences 2024",,PMC11546870,,2024
PMT9312_0550,pro,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1) (Anacystis nidulans),Synechococcus,cyano,False,74,98,Origin and Evolution of Carboxysome Positioning Systems in Cyanobacteria,"MacCready, Molecular biology and evolution 2020",,PMC7182216,,2020
PMT9312_0550,pro,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1) (Anacystis nidulans),Synechococcus,cyano,False,74,98,Rubisco accumulation factor 1 (Raf1) plays essential roles in mediating Rubisco assembly and carboxysome biogenesis,"Huang, Proceedings of the National Academy of Sciences of the United States of America 2020",,PMC7382273,,2020
PMT9312_0550,pro,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1) (Anacystis nidulans),Synechococcus,cyano,False,74,98,Roles of RbcX in Carboxysome Biosynthesis in the Cyanobacterium Synechococcus elongatus PCC7942,"Huang, Plant physiology 2019",,PMC6324234,,2019
PMT9312_0550,pro,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1) (Anacystis nidulans),Synechococcus,cyano,False,74,98,Unique attributes of cyanobacterial metabolism revealed by improved genome-scale metabolic modeling and essential gene analysis,"Broddrick, Proceedings of the National Academy of Sciences of the United States of America 2016",,PMC5187688,,2016
PMT9312_0550,pro,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1) (Anacystis nidulans),Synechococcus,cyano,False,74,98,Blueprint for a minimal photoautotrophic cell: conserved and variable genes in Synechococcus elongatus PCC 7942,"Delaye, BMC genomics 2011",,PMC3025956,,2011
PMT9312_0550,pro,Trichormus variabilis ATCC 29413,Trichormus,cyano,False,75,97,"Cell-specific gene expression in Anabaena variabilis grown phototrophically, mixotrophically, and heterotrophically","Park, BMC genomics 2013",,PMC4046671,,2013
PMT9312_0550,pro,Trichormus variabilis ATCC 29413,Trichormus,cyano,False,75,97,RcaE-Dependent Regulation of Carboxysome Structural Proteins Has a Central Role in Environmental Determination of Carboxysome Morphology and Abundance in Fremyella diplosiphon,"Rohnke, mSphere 2018",,PMC5784247,,2018
PMT9312_0550,pro,Phormidium pseudopriestleyi FRX01,Phormidium,cyano,False,73,97,Characterization of cyanobacterial isolates from freshwater and saline subtropical desert lakes,"Shawer, Folia microbiologica 2023",,PMC10205856,,2023
PMT9312_0550,pro,Gloeothece verrucosa PCC 7822,Gloeothece,cyano,False,73,98,"Transcriptomic and proteomic dynamics in the metabolism of a diazotrophic cyanobacterium, Cyanothece sp. PCC 7822 during a diurnal light-dark cycle","Welkie, BMC genomics 2014",,PMC4320622,,2014
PMT9312_0550,pro,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis,cyano,False,74,98,Different Regulatory Modes of Synechocystis sp. PCC 6803 in Response to Photosynthesis Inhibitory Conditions,"Cho, mSystems 2021",,PMC8651088,,2021
PMT9312_0550,pro,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis,cyano,False,74,98,A Cyanobacterial Screening Platform for Rubisco Mutant Variants,"Hoffmann, ACS synthetic biology 2025",,PMC12313052,,2025
PMT9312_0550,pro,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis,cyano,False,74,98,Characterization of cyanobacterial isolates from freshwater and saline subtropical desert lakes,"Shawer, Folia microbiologica 2023",,PMC10205856,,2023
PMT9312_0550,pro,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis,cyano,False,74,98,CyanoConstruct: simple platform for cyanobacterial expression construct assembly and translational tuning,"Venero, BMC biotechnology 2026",,PMC13041217,,2026
PMT9312_0550,pro,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis,cyano,False,74,98,Differences in photosystem II activity and carbon allocation during photomixotrophic growth in distinct wild-type strains of Synechocystis sp. PCC 6803,"Huokko, The Plant journal : for cell and molecular biology 2026",,PMC12831587,,2026
PMT9312_0550,pro,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis,cyano,False,74,98,Glucose Uncouples Nitrogen Sensing From Chlorosis via a Photosynthetic Checkpoint in Synechocystis sp. PCC 6803,"Ortega-Martínez, Physiologia plantarum 2025",,PMC12638213,,2025
PMT9312_0550,pro,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis,cyano,False,74,98,Site-2 protease Sll0528 interacts with RbcR to regulate carbon/nitrogen homeostasis in the cyanobacterium <i>Synechocystis</i> sp. PCC 6803,"Lin, Frontiers in microbiology 2025",,PMC12014562,,2025
PMT9312_0550,pro,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis,cyano,False,74,98,Deep Proteogenomics of a Photosynthetic Cyanobacterium,"Spät, Journal of proteome research 2023",,PMC10243305,,2023
PMT9312_0550,pro,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis,cyano,False,74,98,Site-2 Protease Slr1821 Regulates Carbon/Nitrogen Homeostasis during Ammonium Stress Acclimation in Cyanobacterium Synechocystis sp. PCC 6803,"Lin, International journal of molecular sciences 2023",,PMC10094980,,2023
PMT9312_0550,pro,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis,cyano,False,74,98,Increased Biomass and Polyhydroxybutyrate Production by Synechocystis sp. PCC 6803 Overexpressing RuBisCO Genes,"Tharasirivat, International journal of molecular sciences 2023",,PMC10094337,,2023
PMT9312_0550,pro,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis,cyano,False,74,98,Comparative Genomic Analysis Revealed Distinct Molecular Components and Organization of CO2-Concentrating Mechanism in Thermophilic Cyanobacteria,"Tang, Frontiers in microbiology 2022",,PMC9120777,,2022
PMT9312_0550,pro,Crocosphaera subtropica ATCC 51142,Crocosphaera,cyano,False,74,98,Proteomic analysis of metabolic adaptation in a unicellular cyanobacterium during light-dark cycles and nitrogen fixation,"Panda, Scientific reports 2025",,PMC12518598,,2025
PMT9312_0550,pro,Crocosphaera subtropica ATCC 51142,Crocosphaera,cyano,False,74,98,Analysis of Protein Complexes in the Unicellular Cyanobacterium Cyanothece ATCC 51142,"Aryal, Journal of proteome research 2018",,PMC6400067,,2018
PMT9312_0550,pro,Crocosphaera subtropica ATCC 51142,Crocosphaera,cyano,False,74,98,Rhythmic and sustained oscillations in metabolism and gene expression of Cyanothece sp. ATCC 51142 under constant light,"Gaudana, Frontiers in microbiology 2013",,PMC3854555,,2013
PMT9312_0550,pro,Microcystis sp. LEGE 08355,Microcystis,cyano,False,73,99,Inhibitory mechanisms of Acacia mearnsii extracts on the growth of Microcystis aeruginosa.,"Liu, Water science and technology : a journal of the International Association on Water Pollution Research 2015 ( PubMed",10.2166/wst.2015.038,,,2015
PMT9312_0550,pro,Microcystis sp. LEGE 08355,Microcystis,cyano,False,73,99,Analyses of gene expression and physiological changes in Microcystis aeruginosa reveal the phytotoxicities of three environmental pollutants.,"Qian, Ecotoxicology (London, England) 2012 ( PubMed )",10.1007/s10646-011-0845-4,,,2012
PMT9312_0550,pro,Arthrospira maxima CS-328,Arthrospira,cyano,False,72,97,Proteomic analysis and qRT-PCR verification of temperature response to Arthrospira (Spirulina) platensis,"Huili, PloS one 2013",,PMC3861494,,2013
PMT9312_0550,pro,Arthrospira maxima CS-328,Arthrospira,cyano,False,72,97,Comparison of Protein Extracts from Various Unicellular Green Sources.,"Teuling, Journal of agricultural and food chemistry 2017",,PMC5599872,,2017
Pro0418,pro,Prochlorococcus marinus (strain SARG / CCMP1375 / SS120),Prochlorococcus,cyano,True,100,100,Integrated Proteomic and Metabolomic Analyses Show Differential Effects of Glucose Availability in Marine <i>Synechococcus</i> and <i>Prochlorococcus</i>,"Moreno-Cabezuelo, Microbiology spectrum 2023",,PMC10100731,,2023
Pro0418,pro,Prochlorococcus marinus (strain SARG / CCMP1375 / SS120),Prochlorococcus,cyano,True,100,100,"Genome sequence of the cyanobacterium Prochlorococcus marinus SS120, a nearly minimal oxyphototrophic genome","Dufresne, Proceedings of the National Academy of Sciences of the United States of America 2003",,PMC187748,,2003
Pro0418,pro,Parasynechococcus marenigrum (strain WH8102),Parasynechococcus,cyano,True,58,98,Integrated Proteomic and Metabolomic Analyses Show Differential Effects of Glucose Availability in Marine Synechococcus and Prochlorococcus.,"Moreno-Cabezuelo, Microbiology spectrum 2023",,PMC10100731,,2023
