locus_tag,organism,genus,gene_name,product,gene_category,freq,best_rank,annotation_state,annotation_quality,ortholog_group_size,ortholog_genera,protein_id,has_seq
EZ55_03827,Alteromonas macleodii EZ55,Alteromonas,,TonB-dependent receptor,Inorganic ion transport,1,1.0,informative_multi,3,6.0,Alteromonas,WP_156087115.1,True
H6G84_02080,Synechococcus elongatus PCC 7942,Synechococcus,dpsA,DNA starvation/stress protection protein DpsA,Inorganic ion transport,1,1.0,informative_multi,3,2.0,Synechococcus,WP_011244234.1,True
H6G84_04390,Synechococcus elongatus PCC 7942,Synechococcus,H6G84_RS04390,hypothetical protein,Unknown,1,1.0,no_evidence,0,2.0,Synechococcus,WP_039755663.1,True
H6G84_11350,Synechococcus elongatus PCC 7942,Synechococcus,H6G84_RS11350,chlorophyll a/b binding light-harvesting protein,Unknown,1,1.0,informative_multi,3,3.0,Synechococcus,WP_011242315.1,True
H6G84_12445,Synechococcus elongatus PCC 7942,Synechococcus,ppsA,phosphoenolpyruvate synthase,Coenzyme metabolism,1,1.0,informative_multi,3,3.0,Synechococcus,WP_011377725.1,True
HP15_1076,Marinobacter (MarRef v6),Marinobacter,pheT,phenylalanine--tRNA ligase subunit beta,Translation,1,1.0,informative_multi,3,12.0,"Marinobacter, Meiothermus, Prochlorococcus, Ruegeria, Shewanella, Synechococcus, Thermosynechococcus",WP_014576544.1,True
HP15_1239,Marinobacter (MarRef v6),Marinobacter,purL,phosphoribosylformylglycinamidine synthase,Nucleotide metabolism,1,1.0,informative_multi,3,40.0,"Alteromonas, Marinobacter, Meiothermus, Prochlorococcus, Pseudomonas, Ruegeria, Shewanella, Synechococcus, Thermosynechococcus",WP_014576687.1,True
HP15_1306,Marinobacter (MarRef v6),Marinobacter,,DUF1631 domain-containing protein,Cell motility,1,1.0,informative_multi,3,53.0,"Alteromonas, Marinobacter, Prochlorococcus, Pseudomonas, Shewanella, Synechococcus, Thermosynechococcus",WP_014576739.1,True
HP15_216,Marinobacter (MarRef v6),Marinobacter,yhgF,Tex family protein,Transcription,1,1.0,informative_multi,3,15.0,"Alteromonas, Marinobacter, Pseudomonas, Ruegeria, Shewanella",WP_014575831.1,True
HP15_2231,Marinobacter (MarRef v6),Marinobacter,,insulinase family protein,Unknown,1,1.0,informative_multi,3,1.0,Marinobacter,WP_014577554.1,True
HP15_273,Marinobacter (MarRef v6),Marinobacter,speE,polyamine aminopropyltransferase,Amino acid metabolism,1,1.0,informative_multi,3,32.0,"Marinobacter, Meiothermus, Prochlorococcus, Pseudomonas, Ruegeria, Shewanella, Synechococcus",WP_014575878.1,True
HP15_2984,Marinobacter (MarRef v6),Marinobacter,sufB,Fe-S cluster assembly protein SufB,Post-translational modification,1,1.0,informative_multi,3,77.0,"Alteromonas, Marinobacter, Meiothermus, Prochlorococcus, Ruegeria, Synechococcus, Thermosynechococcus",WP_008169346.1,True
HP15_332,Marinobacter (MarRef v6),Marinobacter,dksA,RNA polymerase-binding protein DksA,Signal transduction,1,1.0,informative_multi,3,29.0,"Alteromonas, Marinobacter, Pseudomonas, Ruegeria, Shewanella",WP_014575920.1,True
HP15_369,Marinobacter (MarRef v6),Marinobacter,rplK,50S ribosomal protein L11,Translation,1,1.0,informative_multi,3,40.0,"Alteromonas, Marinobacter, Meiothermus, Prochlorococcus, Pseudomonas, Ruegeria, Shewanella, Synechococcus, Thermosynechococcus",WP_008174831.1,True
HP15_3821,Marinobacter (MarRef v6),Marinobacter,,MarR family transcriptional regulator,Transcription,1,1.0,informative_multi,3,109.0,"Alteromonas, Marinobacter, Meiothermus, Prochlorococcus, Pseudomonas, Ruegeria, Shewanella, Synechococcus",WP_008176821.1,True
HP15_404,Marinobacter (MarRef v6),Marinobacter,rpoA,DNA-directed RNA polymerase subunit alpha,Transcription,1,1.0,informative_multi,3,39.0,"Alteromonas, Marinobacter, Meiothermus, Prochlorococcus, Pseudomonas, Ruegeria, Shewanella, Synechococcus, Thermosynechococcus",WP_008174911.1,True
HP15_482,Marinobacter (MarRef v6),Marinobacter,gltB,glutamate synthase large subunit,Amino acid metabolism,1,1.0,informative_multi,3,39.0,"Alteromonas, Marinobacter, Meiothermus, Prochlorococcus, Pseudomonas, Ruegeria, Shewanella, Synechococcus, Thermosynechococcus",WP_014576034.1,True
HP15_488,Marinobacter (MarRef v6),Marinobacter,yjjK,energy-dependent translational throttle protein EttA,Unknown,1,1.0,informative_multi,3,98.0,"Alteromonas, Marinobacter, Meiothermus, Prochlorococcus, Pseudomonas, Ruegeria, Shewanella, Synechococcus",WP_014576039.1,True
M744_07055,Synechococcus elongatus UTEX 2973,Synechococcus,,transglutaminase TgpA family protein,Amino acid metabolism,1,1.0,informative_multi,3,5.0,Synechococcus,WP_011244527.1,True
M744_08450,Synechococcus elongatus UTEX 2973,Synechococcus,cmpD,nitrate ABC transporter ATP-binding protein,Inorganic ion transport,1,1.0,informative_multi,3,2.0,Synechococcus,WP_011244787.1,True
M8001_21015,Pseudomonas putida KT2440,Pseudomonas,idh,NADP-dependent isocitrate dehydrogenase,Energy production,1,1.0,informative_multi,3,14.0,"Alteromonas, Pseudomonas, Ruegeria, Shewanella",WP_010954815.1,True
M8001_24150,Pseudomonas putida KT2440,Pseudomonas,pagO,DMT family transporter,Amino acid metabolism,1,1.0,informative_multi,3,10.0,"Alteromonas, Pseudomonas",WP_010955268.1,True
MIT1002_02348,Alteromonas macleodii MIT1002,Alteromonas,,DUF1852 domain-containing protein,Unknown,1,1.0,informative_single,2,9.0,Alteromonas,WP_049587291.1,True
MIT1002_02349,Alteromonas macleodii MIT1002,Alteromonas,metE,methionine synthase,Amino acid metabolism,1,1.0,informative_multi,3,9.0,Alteromonas,WP_049587218.1,True
MIT1002_02411,Alteromonas macleodii MIT1002,Alteromonas,,hypothetical protein,Unknown,1,1.0,no_evidence,0,,,WP_014949857.1,True
MIT1002_03278,Alteromonas macleodii MIT1002,Alteromonas,pedF,cytochrome c-550 PedF,Energy production,1,1.0,informative_multi,3,8.0,Alteromonas,WP_014950662.1,True
MIT1002_03279,Alteromonas macleodii MIT1002,Alteromonas,pedH,PQQ-dependent methanol/ethanol family dehydrogenase,Carbohydrate metabolism,1,1.0,informative_multi,3,8.0,Alteromonas,WP_197047979.1,True
MIT1002_03507,Alteromonas macleodii MIT1002,Alteromonas,actP,sodium:solute symporter family protein,Unknown,1,1.0,informative_multi,3,9.0,Alteromonas,WP_039216400.1,True
MIT1002_03834,Alteromonas macleodii MIT1002,Alteromonas,,TonB-dependent receptor,Inorganic ion transport,1,1.0,informative_multi,3,6.0,Alteromonas,WP_014951136.1,True
NATL1_02111,Prochlorococcus NATL1A,Prochlorococcus,tsaB,tRNA threonylcarbamoyladenosine biosynthesis protein TsaB,Translation,1,1.0,informative_multi,3,20.0,"Prochlorococcus, Synechococcus",WP_011822999.1,True
NATL1_12621,Prochlorococcus NATL1A,Prochlorococcus,,Conserved hypothetical protein,Unknown,1,1.0,no_evidence,0,5.0,Prochlorococcus,WP_011823886.1,True
P9301_10631,Prochlorococcus MIT9301,Prochlorococcus,,conserved hypothetical protein,Unknown,1,1.0,no_evidence,0,4.0,Prochlorococcus,,False
P9301_17921,Prochlorococcus MIT9301,Prochlorococcus,nhaS,"Na+/H+ antiporter, CPA2 family",Transport,1,1.0,informative_multi,3,20.0,"Prochlorococcus, Synechococcus",WP_011863703.1,True
P9303_07141,Prochlorococcus MIT9303,Prochlorococcus,,conserved hypothetical protein,Unknown,1,1.0,no_evidence,0,2.0,Prochlorococcus,WP_011825380.1,True
P9303_12751,Prochlorococcus MIT9303,Prochlorococcus,,conserved hypothetical protein,Unknown,1,1.0,catch_all_only,1,5.0,"Prochlorococcus, Synechococcus",WP_011825920.1,True
PMM0134,Prochlorococcus MED4,Prochlorococcus,rpaB,two-component system response regulator RR class II (RRII)-CheY-OmpR,Signal transduction,1,1.0,informative_multi,3,20.0,"Prochlorococcus, Synechococcus",WP_011131773.1,True
PMM0135,Prochlorococcus MED4,Prochlorococcus,plsX,glycerol-3-phosphate acyltransferase PlsX,Lipid metabolism,1,1.0,informative_multi,3,20.0,"Prochlorococcus, Synechococcus",WP_011131774.1,True
PMM0154,Prochlorococcus MED4,Prochlorococcus,pedR,redox-responsive LuxR-type transcriptional regulator PedR,Regulatory functions,1,1.0,informative_multi,3,20.0,"Prochlorococcus, Synechococcus",WP_011131793.1,True
PMM0223,Prochlorococcus MED4,Prochlorococcus,psbA,photosystem II protein D1.1,Photosynthesis,1,1.0,informative_multi,3,32.0,"Prochlorococcus, Synechococcus",WP_011131862.1,True
PMM0272,Prochlorococcus MED4,Prochlorococcus,psbK,photosystem II reaction center protein PsbK,Photosynthesis,1,1.0,informative_multi,3,18.0,"Prochlorococcus, Synechococcus",WP_011131909.1,True
PMM0332,Prochlorococcus MED4,Prochlorococcus,glpG,uncharacterized conserved membrane protein,Unknown,1,1.0,informative_multi,3,12.0,Prochlorococcus,WP_225866781.1,True
PMM0346,Prochlorococcus MED4,Prochlorococcus,,conserved hypothetical protein,Unknown,1,1.0,informative_single,2,20.0,"Prochlorococcus, Synechococcus",WP_036930987.1,True
PMM0400,Prochlorococcus MED4,Prochlorococcus,lrtA,light repressed protein A,Translation,1,1.0,informative_multi,3,20.0,"Prochlorococcus, Synechococcus",WP_011132036.1,True
PMM0686,Prochlorococcus MED4,Prochlorococcus,clpS1,ATP-dependent Clp protease adaptor protein ClpS,Post-translational modification,1,1.0,informative_multi,3,19.0,"Prochlorococcus, Synechococcus",,False
PMM0705,Prochlorococcus MED4,Prochlorococcus,phoB,two-component system response regulator RR class II (RRII)-CheY-OmpR,Stress response and adaptation,1,1.0,informative_multi,3,10.0,"Prochlorococcus, Synechococcus",WP_011132339.1,True
PMM0708,Prochlorococcus MED4,Prochlorococcus,,probable alkaline phosphatase,Secondary metabolites,1,1.0,informative_multi,3,5.0,Prochlorococcus,WP_011132342.1,True
PMM0709,Prochlorococcus MED4,Prochlorococcus,som,outer membrane porin,Stress response and adaptation,1,1.0,informative_multi,3,79.0,"Prochlorococcus, Synechococcus",WP_011132343.1,True
PMM0731,Prochlorococcus MED4,Prochlorococcus,,uncharacterized conserved membrane protein,Unknown,1,1.0,catch_all_only,1,9.0,Prochlorococcus,WP_011132365.1,True
PMM0735,Prochlorococcus MED4,Prochlorococcus,unk1,conserved hypothetical protein,Unknown,1,1.0,catch_all_only,1,20.0,"Prochlorococcus, Synechococcus",WP_011132369.1,True
PMM0844,Prochlorococcus MED4,Prochlorococcus,cycI1,Mg-protoporphyrin IX monomethylester oxidative cyclase,Coenzyme metabolism,1,1.0,informative_multi,3,13.0,"Prochlorococcus, Synechococcus",WP_011132478.1,True
PMM0993,Prochlorococcus MED4,Prochlorococcus,,peptidase S51,Post-translational modification,1,1.0,informative_multi,3,13.0,Prochlorococcus,WP_011132625.1,True
PMM1038,Prochlorococcus MED4,Prochlorococcus,,A circularly permuted ATPgrasp family protein,Unknown,1,1.0,informative_single,2,15.0,"Prochlorococcus, Synechococcus",WP_011132671.1,True
PMM1076,Prochlorococcus MED4,Prochlorococcus,,Conserved hypothetical protein,Cellular processes,1,1.0,informative_multi,3,16.0,"Prochlorococcus, Synechococcus",WP_011132709.1,True
PMM1104,Prochlorococcus MED4,Prochlorococcus,,phospholipid methyltransferase,Post-translational modification,1,1.0,informative_multi,3,20.0,"Prochlorococcus, Synechococcus",WP_011132737.1,True
PMM1110,Prochlorococcus MED4,Prochlorococcus,colA,bolA-like family protein,Cellular processes,1,1.0,informative_multi,3,20.0,"Prochlorococcus, Synechococcus",WP_011132743.1,True
PMM1314,Prochlorococcus MED4,Prochlorococcus,clpP3,"ATP-dependent Clp protease, protease subunit",Post-translational modification,1,1.0,informative_multi,3,20.0,"Prochlorococcus, Synechococcus",WP_011132948.1,True
PMM1369,Prochlorococcus MED4,Prochlorococcus,,GAF domain-containing protein,Signal transduction,1,1.0,informative_multi,3,17.0,"Prochlorococcus, Synechococcus",WP_036930584.1,True
PMM1594,Prochlorococcus MED4,Prochlorococcus,ho1,heme oxygenase,Coenzyme metabolism,1,1.0,informative_multi,3,20.0,"Prochlorococcus, Synechococcus",WP_011133222.1,True
PMM1846,Prochlorococcus MED4,Prochlorococcus,,conserved hypothetical protein (DUF4278),Unknown,1,1.0,informative_single,2,17.0,"Prochlorococcus, Synechococcus",WP_071812982.1,True
PMM1979,Prochlorococcus MED4,Prochlorococcus,,Conserved hypothetical protein,Unknown,1,1.0,no_evidence,0,4.0,Prochlorococcus,,False
PMM1992,Prochlorococcus MED4,Prochlorococcus,,conserved hypothetical protein,Unknown,1,1.0,catch_all_only,1,9.0,Prochlorococcus,WP_173028049.1,True
PMM2057,Prochlorococcus MED4,Prochlorococcus,,Hypothetical protein,Unknown,1,1.0,no_evidence,0,1.0,Prochlorococcus,,False
PMN2A_0243,Prochlorococcus NATL2A,Prochlorococcus,PMN2A_RS04150,conserved hypothetical protein,Unknown,1,1.0,catch_all_only,1,18.0,"Prochlorococcus, Synechococcus",WP_011293777.1,True
PMN2A_0476,Prochlorococcus NATL2A,Prochlorococcus,PMN2A_RS05400,conserved hypothetical protein,Unknown,1,1.0,catch_all_only,1,6.0,Prochlorococcus,WP_011294574.1,True
PMN2A_0501,Prochlorococcus NATL2A,Prochlorococcus,PMN2A_RS10105,conserved hypothetical protein (DUF4278),Unknown,1,1.0,informative_single,2,17.0,"Prochlorococcus, Synechococcus",WP_011294599.1,True
PMN2A_0566,Prochlorococcus NATL2A,Prochlorococcus,PMN2A_RS05915,Predicted protein family PM-5,Unknown,1,1.0,no_evidence,0,5.0,Prochlorococcus,WP_011294660.1,True
PMN2A_0592,Prochlorococcus NATL2A,Prochlorococcus,PMN2A_RS06075,conserved hypothetical protein,Unknown,1,1.0,no_evidence,0,4.0,Prochlorococcus,WP_011294683.1,True
PMN2A_0794,Prochlorococcus NATL2A,Prochlorococcus,isiB,flavodoxin,Stress response and adaptation,1,1.0,informative_multi,3,18.0,"Prochlorococcus, Synechococcus",WP_011294882.1,True
PMN2A_0883,Prochlorococcus NATL2A,Prochlorococcus,PMN2A_RS07615,putative undecaprenyl-phosphate galactosephosphotransferase,Cell wall and membrane,1,1.0,informative_multi,3,11.0,"Prochlorococcus, Synechococcus",WP_011295231.1,True
PMN2A_0984,Prochlorococcus NATL2A,Prochlorococcus,atpG,ATP synthase B^,Photosynthesis,1,1.0,informative_multi,3,20.0,"Prochlorococcus, Synechococcus",WP_011295330.1,True
PMN2A_1028,Prochlorococcus NATL2A,Prochlorococcus,PMN2A_RS08380,outer membrane porin,Stress response and adaptation,1,1.0,informative_multi,3,79.0,"Prochlorococcus, Synechococcus",WP_011295373.1,True
PMN2A_1880,Prochlorococcus NATL2A,Prochlorococcus,rbcS,"ribulose bisphosphate carboxylase, small subunit",Photosynthesis,1,1.0,informative_multi,3,20.0,"Prochlorococcus, Synechococcus",WP_011294511.1,True
PMN2A_1882,Prochlorococcus NATL2A,Prochlorococcus,csoSCA,carboxysomal carbonic anhydrase,Photosynthesis,1,1.0,informative_multi,3,20.0,"Prochlorococcus, Synechococcus",WP_011294513.1,True
PMN2A_1971,Prochlorococcus NATL2A,Prochlorococcus,,conserved hypothetical protein,Unknown,1,1.0,no_evidence,0,4.0,Prochlorococcus,,False
PMN2A_2003,Prochlorococcus NATL2A,Prochlorococcus,PMN2A_RS10580,conserved hypothetical protein,Unknown,1,1.0,no_evidence,0,4.0,Prochlorococcus,WP_011295160.1,True
PMT0917,Prochlorococcus MIT9313,Prochlorococcus,,putative membrane protein,Cell wall and membrane,1,1.0,informative_multi,3,17.0,"Prochlorococcus, Synechococcus",WP_011130295.1,True
PMT0934,Prochlorococcus MIT9313,Prochlorococcus,,conserved hypothetical protein,Unknown,1,1.0,no_evidence,0,2.0,Prochlorococcus,WP_011130311.1,True
PMT0993,Prochlorococcus MIT9313,Prochlorococcus,pstS,"phosphate ABC transporter, phosphate-binding protein PstS",Stress response and adaptation,1,1.0,informative_multi,3,28.0,"Prochlorococcus, Synechococcus",WP_011130365.1,True
PMT1004,Prochlorococcus MIT9313,Prochlorococcus,,cupin domain-containing protein,Unknown,1,1.0,informative_single,2,31.0,"Prochlorococcus, Synechococcus",WP_236069678.1,True
PMT1200,Prochlorococcus MIT9313,Prochlorococcus,csos4B,pentameric carboxysome shell protein Csos4B (peptide B),Photosynthesis,1,1.0,informative_multi,3,20.0,"Prochlorococcus, Synechococcus",WP_011130571.1,True
PMT1387,Prochlorococcus MIT9313,Prochlorococcus,,conserved hypothetical protein,Unknown,1,1.0,no_evidence,0,2.0,Prochlorococcus,,False
PMT1494,Prochlorococcus MIT9313,Prochlorococcus,,conserved hypothetical protein,Unknown,1,1.0,informative_single,2,16.0,"Prochlorococcus, Synechococcus",WP_041384574.1,True
PMT9312_0469,Prochlorococcus MIT9312,Prochlorococcus,psaF,photosystem I reaction centre PsaF protein,Photosynthesis,1,1.0,informative_multi,3,20.0,"Prochlorococcus, Synechococcus",WP_011376029.1,True
PMT9312_1271,Prochlorococcus MIT9312,Prochlorococcus,pcb,"divinyl-chlorophyll a/b binding light harvesting protein, photosystem I-associated",Stress response and adaptation,1,1.0,informative_multi,3,16.0,Prochlorococcus,WP_011376817.1,True
PMT9312_1507,Prochlorococcus MIT9312,Prochlorococcus,,uncharacterized conserved secreted protein,Unknown,1,1.0,catch_all_only,1,11.0,Prochlorococcus,WP_011377050.1,True
PMT_0929,Prochlorococcus MIT9313,Prochlorococcus,,conserved hypothetical protein,Cell wall and membrane,1,1.0,informative_multi,3,5.0,"Prochlorococcus, Synechococcus",WP_011130306.1,True
PMT_0997,Prochlorococcus MIT9313,Prochlorococcus,phoR,"two-component system sensor histidine kinase, phosphate sensing PhoR",Stress response and adaptation,1,1.0,informative_multi,3,11.0,"Prochlorococcus, Synechococcus",WP_011130369.1,True
PMT_2647,Prochlorococcus MIT9313,Prochlorococcus,clcD,Hypothetical protein,Secondary metabolites,1,1.0,informative_multi,3,1.0,Prochlorococcus,WP_157859850.1,True
Pro0001,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),Prochlorococcus,dnaN,"DNA polymerase III, beta subunit",Replication and repair,1,1.0,informative_multi,3,20.0,"Prochlorococcus, Synechococcus",WP_011124156.1,True
Pro0218,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),Prochlorococcus,ddpD,"peptide/nickel ABC transport system, ATP-binding component",Transport,1,1.0,informative_multi,3,20.0,"Prochlorococcus, Synechococcus",WP_052039710.1,True
Pro0242,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),Prochlorococcus,sul3,sulfate transporter family protein,Transport,1,1.0,informative_multi,3,20.0,"Prochlorococcus, Synechococcus",WP_011124397.1,True
Pro0330,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),Prochlorococcus,psbL,photosystem II reaction center protein PsbL,Photosynthesis,1,1.0,informative_multi,3,20.0,"Prochlorococcus, Synechococcus",WP_011124485.1,True
Pro0568,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),Prochlorococcus,gst,glutathione S-transferase,Coenzyme metabolism,1,1.0,informative_multi,3,20.0,"Prochlorococcus, Synechococcus",WP_011124721.1,True
Pro0604,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),Prochlorococcus,,conserved hypothetical protein,Unknown,1,1.0,no_evidence,0,1.0,Prochlorococcus,WP_011124756.1,True
Pro0989,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),Prochlorococcus,ubiX,3-octaprenyl-4-hydroxybenzoate carboxy-lyase,Coenzyme metabolism,1,1.0,informative_multi,3,11.0,"Prochlorococcus, Synechococcus",WP_011125141.1,True
Pro0993,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),Prochlorococcus,petF,2Fe-2S ferredoxin,Stress response and adaptation,1,1.0,informative_multi,3,20.0,"Prochlorococcus, Synechococcus",WP_011125145.1,True
Pro1520,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),Prochlorococcus,,Predicted protein family PM-12,Unknown,1,1.0,informative_multi,3,1.0,Prochlorococcus,WP_036896479.1,True
Pro1589,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),Prochlorococcus,groL1,chaperonin GroEL,Stress response and adaptation,1,1.0,informative_multi,3,20.0,"Prochlorococcus, Synechococcus",WP_011125739.1,True
SPO0347,Ruegeria pomeroyi DSS-3,Ruegeria,sucC,ADP-forming succinate--CoA ligase subunit beta,Coenzyme metabolism,1,1.0,informative_multi,3,14.0,"Alteromonas, Pseudomonas, Ruegeria, Shewanella",WP_011046108.1,True
SPO0362,Ruegeria pomeroyi DSS-3,Ruegeria,,hypothetical protein,Secondary metabolites,1,1.0,informative_multi,3,24.0,"Alteromonas, Pseudomonas, Ruegeria, Shewanella",WP_044027809.1,True
SPO1085,Ruegeria pomeroyi DSS-3,Ruegeria,,isocitrate lyase/PEP mutase family protein,Carbohydrate metabolism,1,1.0,informative_multi,3,3.0,"Pseudomonas, Ruegeria",WP_011046832.1,True
SPO1096,Ruegeria pomeroyi DSS-3,Ruegeria,,hypothetical protein,Unknown,1,1.0,no_evidence,0,1.0,Ruegeria,WP_011046843.1,True
SPO1293,Ruegeria pomeroyi DSS-3,Ruegeria,phaP,"phasin, PhaP",Unknown,1,1.0,informative_single,2,1.0,Ruegeria,WP_011047034.1,True
SPO1490,Ruegeria pomeroyi DSS-3,Ruegeria,,substrate-binding domain-containing protein,Amino acid metabolism,1,1.0,informative_multi,3,1.0,Ruegeria,WP_202807077.1,True
SPO1796,Ruegeria pomeroyi DSS-3,Ruegeria,fdhF,formate dehydrogenase subunit alpha,Energy production,1,1.0,informative_multi,3,4.0,"Pseudomonas, Ruegeria, Shewanella",WP_011047529.1,True
SPO3109,Ruegeria pomeroyi DSS-3,Ruegeria,tolB,Tol-Pal system beta propeller repeat protein TolB,Intracellular trafficking,1,1.0,informative_multi,3,14.0,"Alteromonas, Pseudomonas, Ruegeria, Shewanella",WP_011048799.1,True
SPO3162,Ruegeria pomeroyi DSS-3,Ruegeria,atpD,F0F1 ATP synthase subunit beta,Energy production,1,1.0,informative_multi,3,12.0,"Alteromonas, Pseudomonas, Ruegeria, Shewanella",WP_011048852.1,True
SPO3452a,Ruegeria pomeroyi DSS-3,Ruegeria,,hypothetical protein,Unknown,1,1.0,no_evidence,0,1.0,Ruegeria,WP_030003262.1,True
SPO3825,Ruegeria pomeroyi DSS-3,Ruegeria,rplC,50S ribosomal protein L3,Translation,1,1.0,informative_multi,3,12.0,"Alteromonas, Pseudomonas, Ruegeria, Shewanella",WP_011049497.1,True
SYNPCC7002_A2291,Synechococcus PCC 7002,Picosynechococcus,,2TM domain-containing protein,Unknown,1,1.0,informative_single,2,3.0,Synechococcus,WP_012307888.1,True
SYNPCC7002_D0014,Synechococcus PCC 7002,Picosynechococcus,,ParM/StbA family protein,Unknown,1,1.0,informative_single,2,4.0,Synechococcus,WP_012308491.1,True
SYNW1226,Synechococcus WH8102,Parasynechococcus,rpmG,50S ribosomal protein L33,Translation,1,1.0,informative_multi,3,20.0,"Prochlorococcus, Synechococcus",WP_011128090.1,True
SYNW1262,Synechococcus WH8102,Parasynechococcus,argC,N-acetyl-gamma-glutamyl-phosphate reductase,Amino acid metabolism,1,1.0,informative_multi,3,20.0,"Prochlorococcus, Synechococcus",WP_011128126.1,True
SYNW1382,Synechococcus WH8102,Parasynechococcus,,conserved hypothetical protein,Unknown,1,1.0,informative_single,2,2.0,Synechococcus,WP_011128246.1,True
SYNW1414,Synechococcus WH8102,Parasynechococcus,hypB,hydrogenase expression/formation protein HypB,Post-translational modification,1,1.0,informative_multi,3,1.0,Synechococcus,WP_011128278.1,True
SYNW1443,Synechococcus WH8102,Parasynechococcus,,uncharacterized conserved membrane protein,Unknown,1,1.0,informative_single,2,17.0,"Prochlorococcus, Synechococcus",WP_011128307.1,True
SYNW1914,Synechococcus WH8102,Parasynechococcus,gbmt1,glycine/sarcosine N-methyltransferase,Amino acid metabolism,1,1.0,informative_multi,3,4.0,"Prochlorococcus, Synechococcus",WP_011128772.1,True
SYNW2035,Synechococcus WH8102,Parasynechococcus,,conserved hypothetical protein,Unknown,1,1.0,catch_all_only,1,20.0,"Prochlorococcus, Synechococcus",WP_011128893.1,True
SYNW2390,Synechococcus WH8102,Parasynechococcus,,putative alkaline phosphatase/5^ nucleotidase,Stress response and adaptation,1,1.0,informative_multi,3,1.0,Synechococcus,WP_011129243.1,True
SYNW2525,Synechococcus WH8102,Parasynechococcus,,alpha/beta hydrolase of unknown function (DUF1400),Amino acid metabolism,1,1.0,informative_multi,3,20.0,"Prochlorococcus, Synechococcus",WP_011129378.1,True
Sputw3181_0808,Shewanella sp. W3-18-1,Shewanella,csgB,curlin,Unknown,1,1.0,informative_multi,3,2.0,"Pseudomonas, Shewanella",WP_011788187.1,True
Sputw3181_0919,Shewanella sp. W3-18-1,Shewanella,,LysR family transcriptional regulator,Transcription,1,1.0,informative_multi,3,6.0,"Pseudomonas, Shewanella",WP_011788296.1,True
SynWH7803_0032,Synechococcus WH7803,Synechococcus,efp,translation elongation factor P,Translation,1,1.0,informative_multi,3,20.0,"Prochlorococcus, Synechococcus",WP_006042657.1,True
SynWH7803_0139,Synechococcus WH7803,Synechococcus,,"possible alpha-glycosyltransferase, family 4",Cell wall and membrane,1,1.0,informative_multi,3,1.0,Synechococcus,WP_011932073.1,True
SynWH7803_0171,Synechococcus WH7803,Synechococcus,ssb,single-stranded DNA-binding protein,Replication and repair,1,1.0,informative_multi,3,20.0,"Prochlorococcus, Synechococcus",WP_011932105.1,True
SynWH7803_0323,Synechococcus WH7803,Synechococcus,thyx,thymidylate synthase,Nucleotide metabolism,1,1.0,informative_multi,3,4.0,Synechococcus,WP_011932249.1,True
SynWH7803_0381,Synechococcus WH7803,Synechococcus,rpsG,30S ribosomal protein S7,Translation,1,1.0,informative_multi,3,20.0,"Prochlorococcus, Synechococcus",WP_011932305.1,True
SynWH7803_0580,Synechococcus WH7803,Synechococcus,fadD,long-chain acyl-CoA synthetase,Lipid metabolism,1,1.0,informative_multi,3,20.0,"Prochlorococcus, Synechococcus",WP_011932492.1,True
SynWH7803_0754,Synechococcus WH7803,Synechococcus,,short chain dehydrogenase family protein,Carbohydrate metabolism,1,1.0,informative_multi,3,20.0,"Prochlorococcus, Synechococcus",WP_011932663.1,True
SynWH7803_0845,Synechococcus WH7803,Synechococcus,smtA,"metallothionein, family 14",Stress response and adaptation,1,1.0,informative_multi,3,4.0,Synechococcus,WP_011932753.1,True
SynWH7803_1017,Synechococcus WH7803,Synechococcus,,uncharacterized conserved secreted protein (DUF1254/DUF1214),Unknown,1,1.0,informative_single,2,1.0,Synechococcus,WP_011932925.1,True
SynWH7803_1508,Synechococcus WH7803,Synechococcus,recB,"exodeoxyribonuclease V (RecBCD complex), beta subunit",Replication and repair,1,1.0,informative_multi,3,20.0,"Prochlorococcus, Synechococcus",WP_011933411.1,True
SynWH7803_1705,Synechococcus WH7803,Synechococcus,,uncharacterized conserved lipoprotein (DUF1254/DUF1214),Unknown,1,1.0,informative_single,2,2.0,Synechococcus,WP_041428623.1,True
SynWH7803_1733,Synechococcus WH7803,Synechococcus,zipN,cell division protein ZipN,Cell cycle and division,1,1.0,informative_multi,3,20.0,"Prochlorococcus, Synechococcus",WP_011933631.1,True
SynWH7803_1795,Synechococcus WH7803,Synechococcus,pilA,type IV pilin PilA,Cell motility,1,1.0,informative_multi,3,5.0,"Prochlorococcus, Synechococcus",WP_011933693.1,True
SynWH7803_2236,Synechococcus WH7803,Synechococcus,,outer membrane porin,Stress response and adaptation,1,1.0,informative_multi,3,79.0,"Prochlorococcus, Synechococcus",WP_011934124.1,True
